participant_id,session,task_type,trial_number,block_number,is_practice,coherence,direction,trial_start_trigger,stimulus_trigger,response_trigger,feedback_trigger,response,accuracy,reaction_time,stimulus_onset_time,response_time,trial_duration
CLA_binaural,1,binaural,1,0,1,0.4,left,20,141,1,10,left,1,0.817256,1210.92777,1211.745026,0.81741
CLA_binaural,1,binaural,2,0,1,0.4,left,20,141,1,10,left,1,0.433924,1213.211499,1213.645423,0.434109
CLA_binaural,1,binaural,3,0,1,0.4,left,20,141,1,10,left,1,0.483271,1215.261341,1215.744611,0.483393
CLA_binaural,1,binaural,4,0,1,0.4,right,20,142,2,10,right,1,0.401325,1217.094298,1217.495623,0.401486
CLA_binaural,1,binaural,5,0,1,0.4,right,20,142,2,10,right,1,0.351515,1219.161242,1219.512757,0.351688
CLA_binaural,1,binaural,6,0,1,0.4,right,20,142,2,10,right,1,0.384468,1221.044504,1221.428971,0.384632
CLA_binaural,1,binaural,7,0,1,0.4,right,20,142,2,10,right,1,0.383857,1222.978611,1223.362468,0.383966
CLA_binaural,1,binaural,8,0,1,0.4,right,20,142,2,10,right,1,0.450867,1225.111928,1225.562794,0.466596
CLA_binaural,1,binaural,9,0,1,0.4,left,20,141,1,10,left,1,0.366262,1227.12894,1227.495202,0.366395
CLA_binaural,1,binaural,10,0,1,0.4,left,20,141,1,10,left,1,0.366379,1229.145583,1229.511962,0.366521
CLA_binaural,1,binaural,11,0,1,0.4,right,20,142,2,10,right,1,0.384598,1231.128446,1231.513044,0.384774
CLA_binaural,1,binaural,12,0,1,0.4,right,20,142,2,10,right,1,0.384157,1232.995472,1233.379628,0.384335
CLA_binaural,1,binaural,13,0,1,0.4,left,20,141,1,10,left,1,0.384217,1234.928506,1235.312723,0.384384
CLA_binaural,1,binaural,14,0,1,0.4,left,20,141,1,10,left,1,0.383235,1236.862332,1237.245568,0.383367
CLA_binaural,1,binaural,1,1,0,0.25,left,20,126,1,10,left,1,0.434459,1241.662137,1242.096595,0.434628
CLA_binaural,1,binaural,2,1,0,0.25,left,20,126,1,10,left,1,0.434227,1243.162817,1243.597044,0.434391
CLA_binaural,1,binaural,3,1,0,0.12,right,20,114,2,10,right,1,0.450241,1244.612244,1245.062484,0.450376
CLA_binaural,1,binaural,4,1,0,0.12,right,20,114,2,10,right,1,0.46651,1246.146229,1246.61274,0.466611
CLA_binaural,1,binaural,5,1,0,0.06,right,20,108,1,11,left,0,0.584547,1247.545788,1248.130335,0.584718
CLA_binaural,1,binaural,6,1,0,0.0,left,20,101,1,10,left,1,0.451416,1249.079297,1249.530713,0.467541
CLA_binaural,1,binaural,7,1,0,0.5,right,20,152,2,10,right,1,0.383978,1250.613265,1250.997243,0.384123
CLA_binaural,1,binaural,8,1,0,0.06,right,20,108,1,11,left,0,0.401977,1252.146469,1252.548446,0.4167
CLA_binaural,1,binaural,9,1,0,0.06,right,20,108,1,11,left,0,0.449515,1253.59698,1254.046495,0.449656
CLA_binaural,1,binaural,10,1,0,0.0,left,20,101,1,10,left,1,0.468153,1254.963016,1255.431169,0.468319
CLA_binaural,1,binaural,11,1,0,0.0,left,20,101,1,10,left,1,0.483442,1256.49657,1256.980012,0.483579
CLA_binaural,1,binaural,12,1,0,0.12,left,20,113,1,10,left,1,0.416645,1257.8465,1258.263145,0.416751
CLA_binaural,1,binaural,13,1,0,0.03,left,20,104,2,11,right,0,0.583299,1259.246787,1259.830086,0.583523
CLA_binaural,1,binaural,14,1,0,0.06,right,20,108,2,10,right,1,0.633574,1260.813223,1261.446797,0.633703
CLA_binaural,1,binaural,15,1,0,0.25,left,20,126,1,10,left,1,0.569342,1262.529995,1263.099337,0.584403
CLA_binaural,1,binaural,16,1,0,0.0,left,20,101,2,11,right,0,0.683763,1263.963295,1264.647058,0.683871
CLA_binaural,1,binaural,17,1,0,0.06,right,20,108,1,11,left,0,0.550279,1265.646664,1266.196942,0.550411
CLA_binaural,1,binaural,18,1,0,0.06,left,20,107,1,10,left,1,0.432466,1267.298126,1267.730591,0.432603
CLA_binaural,1,binaural,19,1,0,0.03,right,20,105,2,10,right,1,0.51633,1268.797444,1269.313774,0.516462
CLA_binaural,1,binaural,20,1,0,0.25,right,20,127,2,10,right,1,0.399628,1270.297515,1270.697143,0.399732
CLA_binaural,1,binaural,21,1,0,0.5,left,20,151,1,10,left,1,0.382105,1271.83187,1272.213975,0.382237
CLA_binaural,1,binaural,22,1,0,0.12,right,20,114,2,10,right,1,0.43315,1273.231871,1273.665021,0.433307
CLA_binaural,1,binaural,23,1,0,0.0,right,20,102,1,11,left,0,0.366949,1274.814378,1275.181327,0.367085
CLA_binaural,1,binaural,24,1,0,0.12,right,20,114,2,10,right,1,0.717535,1276.297033,1277.014568,0.717734
CLA_binaural,1,binaural,25,1,0,0.03,left,20,104,1,10,left,1,0.417624,1278.1812,1278.598824,0.417792
CLA_binaural,1,binaural,26,1,0,0.0,right,20,102,1,11,left,0,0.800426,1279.548107,1280.348534,0.800598
CLA_binaural,1,binaural,27,1,0,0.03,right,20,105,2,10,right,1,0.48433,1281.447825,1281.932155,0.484533
CLA_binaural,1,binaural,28,1,0,0.06,left,20,107,1,10,left,1,0.617687,1282.880778,1283.498465,0.617819
CLA_binaural,1,binaural,29,1,0,0.03,right,20,105,1,11,left,0,0.799958,1284.381875,1285.181834,0.80025
CLA_binaural,1,binaural,30,1,0,0.5,left,20,151,1,10,left,1,0.449899,1286.431942,1286.881842,0.450055
CLA_binaural,1,binaural,31,1,0,0.12,right,20,114,2,10,right,1,0.483662,1287.964944,1288.448606,0.48377
CLA_binaural,1,binaural,32,1,0,0.0,left,20,101,1,10,left,1,0.98365,1289.231243,1290.214893,0.983777
CLA_binaural,1,binaural,33,1,0,0.06,right,20,108,2,10,right,1,1.15006,1291.231972,1292.382031,1.150214
CLA_binaural,1,binaural,34,1,0,0.06,right,20,108,2,10,right,1,0.850324,1293.398766,1294.24909,0.850462
CLA_binaural,1,binaural,35,1,0,0.06,left,20,107,1,10,left,1,0.418098,1295.164771,1295.582869,0.418386
