participant_id,session,task_type,trial_number,block_number,is_practice,coherence,direction,trial_start_trigger,stimulus_trigger,response_trigger,feedback_trigger,response,accuracy,reaction_time,stimulus_onset_time,response_time,trial_duration
CLA,1,control,1,0,1,0.4,right,20,142,2,10,right,1,1.784967,1280.179921,1281.964888,1.78519
CLA,1,control,2,0,1,0.4,right,20,142,2,10,right,1,1.235143,1283.314242,1284.549384,1.235386
CLA,1,control,3,0,1,0.4,left,20,141,1,10,left,1,0.650497,1285.998744,1286.649241,0.650754
CLA,1,control,4,0,1,0.4,right,20,142,2,10,right,1,0.616257,1288.348351,1288.964608,0.616465
CLA,1,control,5,0,1,0.4,left,20,141,1,10,left,1,0.51798,1290.597169,1291.115149,0.518211
CLA,1,control,6,0,1,0.4,right,20,142,2,10,right,1,0.666873,1292.781975,1293.448849,0.667264
CLA,1,control,7,0,1,0.4,left,20,141,1,10,left,1,0.516963,1294.78151,1295.298473,0.517268
CLA,1,control,8,0,1,0.4,right,20,142,2,10,right,1,0.517408,1296.749016,1297.266424,0.517653
CLA,1,control,9,0,1,0.4,right,20,142,2,10,right,1,0.817752,1298.847573,1299.665325,0.818118
CLA,1,control,10,0,1,0.4,left,20,141,1,10,left,1,0.401294,1301.049188,1301.450481,0.401641
CLA,1,control,11,0,1,0.4,right,20,142,2,10,right,1,0.466767,1303.232394,1303.699161,0.467061
CLA,1,control,12,0,1,0.4,left,20,141,1,10,left,1,0.417624,1305.149169,1305.566793,0.417897
CLA,1,control,13,0,1,0.4,left,20,141,1,10,left,1,0.517545,1307.28195,1307.799495,0.517912
CLA,1,control,14,0,1,0.4,left,20,141,1,10,left,1,0.583432,1309.549587,1310.133019,0.583682
CLA,1,control,1,1,0,0.0,left,20,101,1,10,left,1,1.049989,1321.732707,1322.782695,1.050182
CLA,1,control,2,1,0,0.12,right,20,114,2,10,right,1,1.004604,1323.816192,1324.820796,1.017917
CLA,1,control,3,1,0,0.5,left,20,151,1,10,left,1,0.617958,1325.833365,1326.451323,0.618223
CLA,1,control,4,1,0,0.5,right,20,152,2,10,right,1,0.599676,1327.367121,1327.966798,0.599967
