participant_id,session,task_type,trial_number,block_number,is_practice,coherence,direction,trial_start_trigger,stimulus_trigger,response_trigger,feedback_trigger,response,accuracy,reaction_time,stimulus_onset_time,response_time,trial_duration
david_control,1,control,1,0,1,0.4,left,20,141,1,10,left,1,0.848309,1250.15855,1251.006859,0.849333
david_control,1,control,2,0,1,0.4,left,20,141,1,10,left,1,0.778584,1252.595355,1253.373939,0.779656
david_control,1,control,3,0,1,0.4,right,20,142,2,10,right,1,0.528975,1254.878093,1255.407068,0.530069
david_control,1,control,4,0,1,0.4,right,20,142,2,10,right,1,0.753162,1257.020728,1257.773891,0.754181
david_control,1,control,5,0,1,0.4,left,20,141,1,10,left,1,0.599864,1259.311725,1259.911589,0.600481
david_control,1,control,6,0,1,0.4,right,20,142,2,10,right,1,0.614932,1261.54473,1262.159662,0.619603
david_control,1,control,7,0,1,0.4,left,20,141,1,10,left,1,0.568448,1263.661429,1264.229877,0.569497
david_control,1,control,8,0,1,0.4,left,20,141,1,10,left,1,0.578326,1265.661793,1266.24012,0.579343
david_control,1,control,9,0,1,0.4,right,20,142,2,10,right,1,0.517393,1267.912347,1268.42974,0.518459
david_control,1,control,10,0,1,0.4,right,20,142,2,10,right,1,0.529732,1269.860764,1270.390496,0.530785
david_control,1,control,11,0,1,0.4,right,20,142,2,10,right,1,0.558663,1271.987457,1272.54612,0.559625
david_control,1,control,12,0,1,0.4,left,20,141,1,10,left,1,0.502704,1274.028691,1274.531395,0.508169
david_control,1,control,13,0,1,0.4,left,20,141,1,10,left,1,0.69483,1276.112557,1276.807387,0.695922
david_control,1,control,14,0,1,0.4,right,20,142,2,10,right,1,0.494152,1278.45418,1278.948331,0.500161
david_control,1,control,1,1,0,0.25,right,20,127,2,10,right,1,0.580822,1285.878523,1286.459345,0.585423
david_control,1,control,2,1,0,0.0,right,20,102,1,11,left,0,0.755246,1287.520888,1288.276134,0.759838
david_control,1,control,3,1,0,0.03,left,20,104,1,10,left,1,0.936813,1289.411456,1290.348269,0.942348
david_control,1,control,4,1,0,0.0,left,20,101,2,11,right,0,1.252766,1291.43756,1292.690326,1.253857
david_control,1,control,5,1,0,0.0,right,20,102,2,10,right,1,1.052194,1293.67858,1294.730774,1.053216
david_control,1,control,6,1,0,0.5,left,20,151,1,10,left,1,0.56914,1295.837646,1296.406786,0.570209
david_control,1,control,7,1,0,0.5,left,20,151,1,10,left,1,0.786597,1297.504392,1298.290989,0.787758
david_control,1,control,8,1,0,0.06,left,20,107,2,11,right,0,1.135997,1299.377271,1300.513268,1.137071
david_control,1,control,9,1,0,0.5,left,20,151,1,10,left,1,0.664525,1301.494786,1302.159311,0.669198
david_control,1,control,10,1,0,0.0,right,20,102,2,10,right,1,1.13598,1303.254388,1304.390367,1.137054
david_control,1,control,11,1,0,0.03,right,20,105,1,11,left,0,1.245411,1305.511598,1306.757009,1.246427
david_control,1,control,12,1,0,0.03,right,20,105,2,10,right,1,1.48708,1307.844079,1309.331158,1.493598
david_control,1,control,13,1,0,0.03,left,20,104,1,10,left,1,1.205067,1310.287603,1311.49267,1.20971
david_control,1,control,14,1,0,0.25,left,20,126,1,10,left,1,0.919824,1312.487539,1313.407363,0.920854
david_control,1,control,15,1,0,0.06,right,20,108,2,10,right,1,1.362675,1314.228004,1315.590679,1.363727
david_control,1,control,16,1,0,0.5,left,20,151,1,10,left,1,0.552929,1316.571085,1317.124014,0.553965
david_control,1,control,17,1,0,0.5,left,20,151,1,10,left,1,0.505352,1318.254349,1318.759701,0.510082
david_control,1,control,18,1,0,0.5,left,20,151,1,10,left,1,0.679122,1319.795085,1320.474207,0.680172
david_control,1,control,19,1,0,0.0,right,20,102,2,10,right,1,1.319519,1321.561894,1322.881412,1.325214
david_control,1,control,20,1,0,0.0,left,20,101,2,11,right,0,1.558758,1323.954298,1325.513056,1.559785
david_control,1,control,21,1,0,0.5,right,20,152,2,10,right,1,0.628985,1326.744856,1327.373841,0.630068
