participant_id,session,task_type,trial_number,block_number,is_practice,coherence,direction,trial_start_trigger,stimulus_trigger,response_trigger,feedback_trigger,response,accuracy,reaction_time,stimulus_onset_time,response_time,trial_duration
Johan_binarual,1,binaural,1,0,1,0.4,right,20,142,1,11,left,0,1.086079,1286.875863,1287.961943,1.086522
Johan_binarual,1,binaural,2,0,1,0.4,right,20,142,2,10,right,1,0.784861,1289.528019,1290.31288,0.785383
Johan_binarual,1,binaural,3,0,1,0.4,left,20,141,1,10,left,1,0.650071,1291.903178,1292.553249,0.656419
Johan_binarual,1,binaural,4,0,1,0.4,left,20,141,1,10,left,1,0.921885,1294.161594,1295.083479,0.922589
Johan_binarual,1,binaural,5,0,1,0.4,left,20,141,2,11,right,0,0.503699,1296.577489,1297.081188,0.50434
Johan_binarual,1,binaural,6,0,1,0.4,right,20,142,2,10,right,1,0.734234,1298.761754,1299.495989,0.73495
Johan_binarual,1,binaural,7,0,1,0.4,right,20,142,2,10,right,1,0.586613,1300.94517,1301.531783,0.58731
Johan_binarual,1,binaural,8,0,1,0.4,right,20,142,2,10,right,1,0.709478,1303.119777,1303.829255,0.710206
Johan_binarual,1,binaural,9,0,1,0.4,left,20,141,1,10,left,1,0.652453,1305.393229,1306.045682,0.65307
Johan_binarual,1,binaural,10,0,1,0.4,left,20,141,1,10,left,1,0.534118,1307.644838,1308.178956,0.534771
Johan_binarual,1,binaural,11,0,1,0.4,left,20,141,1,10,left,1,0.776189,1309.578357,1310.354546,0.776884
Johan_binarual,1,binaural,12,0,1,0.4,left,20,141,1,10,left,1,0.676677,1311.92034,1312.597017,0.677446
Johan_binarual,1,binaural,13,0,1,0.4,right,20,142,2,10,right,1,0.619244,1314.11173,1314.730974,0.62002
Johan_binarual,1,binaural,14,0,1,0.4,right,20,142,1,11,left,0,0.275061,1316.270266,1316.545327,0.275705
Johan_binarual,1,binaural,1,1,0,0.25,right,20,127,1,11,left,0,0.867949,1319.427572,1320.295521,0.868492
Johan_binarual,1,binaural,2,1,0,0.06,right,20,108,2,10,right,1,0.971687,1321.294263,1322.26595,0.983108
Johan_binarual,1,binaural,3,1,0,0.12,right,20,114,1,11,left,0,1.416198,1323.287122,1324.70332,1.42369
Johan_binarual,1,binaural,4,1,0,0.03,left,20,104,2,11,right,0,1.67492,1325.653994,1327.328914,1.67559
Johan_binarual,1,binaural,5,1,0,0.06,left,20,107,2,11,right,0,1.017661,1328.37781,1329.395472,1.018294
Johan_binarual,1,binaural,6,1,0,0.5,right,20,152,1,11,left,0,1.210669,1330.519989,1331.730658,1.211415
Johan_binarual,1,binaural,7,1,0,0.25,left,20,126,2,11,right,0,1.210116,1332.769037,1333.979154,1.210707
Johan_binarual,1,binaural,8,1,0,0.5,right,20,152,2,10,right,1,0.77064,1335.127623,1335.898262,0.775329
Johan_binarual,1,binaural,9,1,0,0.03,left,20,104,1,10,left,1,1.115119,1336.936774,1338.051893,1.116004
Johan_binarual,1,binaural,10,1,0,0.12,left,20,113,2,11,right,0,0.878333,1338.903606,1339.78194,0.87897
Johan_binarual,1,binaural,11,1,0,0.5,left,20,151,1,10,left,1,0.675279,1340.770045,1341.445324,0.675991
Johan_binarual,1,binaural,12,1,0,0.12,right,20,114,2,10,right,1,0.6529,1342.344672,1342.997572,0.653771
Johan_binarual,1,binaural,13,1,0,0.12,right,20,114,1,11,left,0,0.992071,1344.236812,1345.228884,0.992707
Johan_binarual,1,binaural,14,1,0,0.12,right,20,114,2,10,right,1,1.1134,1346.118022,1347.231423,1.114704
Johan_binarual,1,binaural,15,1,0,0.5,left,20,151,1,10,left,1,0.881978,1348.236335,1349.118313,0.882935
Johan_binarual,1,binaural,16,1,0,0.25,left,20,126,2,11,right,0,1.427319,1350.151462,1351.578781,1.428084
Johan_binarual,1,binaural,17,1,0,0.12,right,20,114,1,11,left,0,1.486607,1352.67892,1354.165527,1.488051
Johan_binarual,1,binaural,18,1,0,0.06,left,20,107,2,11,right,0,1.660441,1355.251863,1356.912304,1.661129
Johan_binarual,1,binaural,19,1,0,0.5,left,20,151,1,10,left,1,1.813586,1357.950728,1359.764314,1.81482
Johan_binarual,1,binaural,20,1,0,0.0,left,20,101,2,11,right,0,1.568319,1360.762248,1362.330567,1.569123
Johan_binarual,1,binaural,21,1,0,0.06,right,20,108,2,10,right,1,1.71022,1363.527814,1365.238034,1.710953
Johan_binarual,1,binaural,22,1,0,0.06,right,20,108,nan,nan,none,nan,nan,1366.169712,nan,2.007823
Johan_binarual,1,binaural,23,1,0,0.0,right,20,102,1,11,left,0,1.130242,1369.249909,1370.380151,1.133477
Johan_binarual,1,binaural,24,1,0,0.5,right,20,152,2,10,right,1,1.019963,1371.411492,1372.431456,1.0207
Johan_binarual,1,binaural,25,1,0,0.25,left,20,126,1,10,left,1,0.960039,1373.469952,1374.429991,0.960699
Johan_binarual,1,binaural,26,1,0,0.03,right,20,105,2,10,right,1,1.296962,1375.315773,1376.612735,1.297641
Johan_binarual,1,binaural,27,1,0,0.0,right,20,102,1,11,left,0,0.70879,1377.777819,1378.486609,0.715769
Johan_binarual,1,binaural,28,1,0,0.5,left,20,151,2,11,right,0,0.803647,1379.528203,1380.33185,0.807908
Johan_binarual,1,binaural,29,1,0,0.25,left,20,126,1,10,left,1,0.801336,1381.262315,1382.063651,0.802011
Johan_binarual,1,binaural,30,1,0,0.25,left,20,126,2,11,right,0,1.459783,1382.943335,1384.403118,1.467257
Johan_binarual,1,binaural,31,1,0,0.06,right,20,108,1,11,left,0,1.584747,1385.461287,1387.046034,1.585512
Johan_binarual,1,binaural,32,1,0,0.25,right,20,127,1,11,left,0,1.328669,1388.10143,1389.430099,1.329674
Johan_binarual,1,binaural,33,1,0,0.03,right,20,105,1,11,left,0,1.137415,1390.428911,1391.566326,1.141234
Johan_binarual,1,binaural,34,1,0,0.5,left,20,151,1,10,left,1,0.901233,1392.578004,1393.479237,0.901981
Johan_binarual,1,binaural,35,1,0,0.12,right,20,114,2,10,right,1,1.393182,1394.303822,1395.697003,1.393843
Johan_binarual,1,binaural,36,1,0,0.03,right,20,105,1,11,left,0,1.226207,1396.577938,1397.804145,1.226863
Johan_binarual,1,binaural,37,1,0,0.5,left,20,151,1,10,left,1,0.817746,1398.927976,1399.745722,0.81842
Johan_binarual,1,binaural,38,1,0,0.06,left,20,107,2,11,right,0,1.803725,1400.828268,1402.631993,1.804526
Johan_binarual,1,binaural,39,1,0,0.03,left,20,104,1,10,left,1,1.360464,1403.736392,1405.096856,1.361204
Johan_binarual,1,binaural,40,1,0,0.25,right,20,127,2,10,right,1,1.442999,1406.170699,1407.613698,1.443946
Johan_binarual,1,binaural,41,1,0,0.12,left,20,113,1,10,left,1,1.492461,1408.637142,1410.129603,1.493284
Johan_binarual,1,binaural,42,1,0,0.03,left,20,104,nan,nan,none,nan,nan,1411.127297,nan,2.001051
Johan_binarual,1,binaural,43,1,0,0.5,left,20,151,1,10,left,1,1.191106,1414.314104,1415.50521,1.191798
Johan_binarual,1,binaural,44,1,0,0.03,right,20,105,2,10,right,1,1.559763,1416.586101,1418.145864,1.560434
Johan_binarual,1,binaural,45,1,0,0.5,right,20,152,2,10,right,1,1.184262,1419.228497,1420.41276,1.184964
Johan_binarual,1,binaural,46,1,0,0.12,right,20,114,2,10,right,1,1.108949,1421.470072,1422.579021,1.109725
Johan_binarual,1,binaural,47,1,0,0.5,left,20,151,1,10,left,1,0.827991,1423.637353,1424.465344,0.829231
Johan_binarual,1,binaural,48,1,0,0.03,left,20,104,1,10,left,1,1.146468,1425.318325,1426.464793,1.147691
Johan_binarual,1,binaural,49,1,0,0.06,right,20,108,2,10,right,1,1.36735,1427.296023,1428.663373,1.368113
Johan_binarual,1,binaural,50,1,0,0.0,right,20,102,1,11,left,0,1.244657,1429.818985,1431.063642,1.245384
Johan_binarual,1,binaural,51,1,0,0.06,left,20,107,2,11,right,0,1.279166,1431.951529,1433.230695,1.279967
Johan_binarual,1,binaural,52,1,0,0.5,left,20,151,1,10,left,1,0.837333,1434.0781,1434.915434,0.838019
Johan_binarual,1,binaural,53,1,0,0.0,right,20,102,2,10,right,1,1.153223,1435.811466,1436.964689,1.158621
Johan_binarual,1,binaural,54,1,0,0.0,right,20,102,1,11,left,0,1.251922,1438.011695,1439.263617,1.25289
Johan_binarual,1,binaural,55,1,0,0.25,right,20,127,2,10,right,1,0.863211,1440.202147,1441.065359,0.863952
Johan_binarual,1,binaural,56,1,0,0.06,right,20,108,2,10,right,1,0.955429,1442.211457,1443.166886,0.959159
Johan_binarual,1,binaural,57,1,0,0.12,left,20,113,1,10,left,1,1.171959,1444.412029,1445.583988,1.183368
Johan_binarual,1,binaural,58,1,0,0.12,left,20,113,1,10,left,1,1.513086,1446.584633,1448.09772,1.513826
Johan_binarual,1,binaural,59,1,0,0.5,right,20,152,2,10,right,1,0.794551,1449.261688,1450.056239,0.816763
Johan_binarual,1,binaural,60,1,0,0.03,left,20,104,2,11,right,0,1.044121,1451.20407,1452.248191,1.045137
Johan_binarual,1,binaural,61,1,0,0.5,left,20,151,1,10,left,1,1.013268,1453.237367,1454.250635,1.023971
Johan_binarual,1,binaural,62,1,0,0.06,left,20,107,2,11,right,0,1.028008,1455.436204,1456.464212,1.028756
Johan_binarual,1,binaural,63,1,0,0.06,left,20,107,1,10,left,1,0.995222,1457.585302,1458.580524,0.996244
Johan_binarual,1,binaural,64,1,0,0.25,right,20,127,2,10,right,1,1.330569,1459.58541,1460.915979,1.332038
Johan_binarual,1,binaural,65,1,0,0.25,right,20,127,2,10,right,1,1.003319,1461.845171,1462.84849,1.00403
Johan_binarual,1,binaural,66,1,0,0.0,left,20,101,1,10,left,1,1.334927,1463.75402,1465.088947,1.335669
Johan_binarual,1,binaural,67,1,0,0.12,left,20,113,1,10,left,1,1.052791,1465.929244,1466.982035,1.054147
Johan_binarual,1,binaural,68,1,0,0.25,right,20,127,2,10,right,1,0.760269,1468.053914,1468.814182,0.760966
Johan_binarual,1,binaural,69,1,0,0.0,left,20,101,1,10,left,1,1.368135,1469.794985,1471.16312,1.368834
Johan_binarual,1,binaural,70,1,0,0.06,left,20,107,2,11,right,0,1.693543,1472.054672,1473.748215,1.69426
Johan_binarual,1,binaural,71,1,0,0.03,left,20,104,1,10,left,1,1.259567,1474.761882,1476.021449,1.260194
Johan_binarual,1,binaural,72,1,0,0.06,left,20,107,2,11,right,0,1.353077,1476.861679,1478.214756,1.353857
Johan_binarual,1,binaural,73,1,0,0.0,left,20,101,1,10,left,1,1.842955,1479.353836,1481.196791,1.843858
Johan_binarual,1,binaural,74,1,0,0.25,right,20,127,2,10,right,1,1.060117,1482.053851,1483.113967,1.060792
Johan_binarual,1,binaural,75,1,0,0.5,left,20,151,1,10,left,1,0.732898,1484.184726,1484.917624,0.73729
Johan_binarual,1,binaural,76,1,0,0.06,left,20,107,2,11,right,0,1.334402,1485.98709,1487.321492,1.334959
Johan_binarual,1,binaural,77,1,0,0.12,right,20,114,1,11,left,0,1.251568,1488.295243,1489.546812,1.252338
Johan_binarual,1,binaural,78,1,0,0.0,left,20,101,1,10,left,1,1.147361,1490.72044,1491.867801,1.157657
Johan_binarual,1,binaural,79,1,0,0.5,left,20,151,1,10,left,1,1.067513,1492.761812,1493.829325,1.068174
Johan_binarual,1,binaural,80,1,0,0.25,left,20,126,2,11,right,0,1.617693,1494.695313,1496.313007,1.618376
Johan_binarual,1,binaural,81,1,0,0.25,right,20,127,1,11,left,0,1.867663,1497.246217,1499.11388,1.868393
Johan_binarual,1,binaural,82,1,0,0.5,right,20,152,2,10,right,1,1.677651,1500.251688,1501.929339,1.678248
Johan_binarual,1,binaural,83,1,0,0.0,right,20,102,1,11,left,0,1.827689,1503.020531,1504.84822,1.828439
Johan_binarual,1,binaural,84,1,0,0.12,left,20,113,1,10,left,1,0.937626,1506.013278,1506.950904,0.938384
Johan_binarual,1,binaural,85,1,0,0.5,left,20,151,1,10,left,1,0.688513,1508.012967,1508.70148,0.689225
Johan_binarual,1,binaural,86,1,0,0.06,right,20,108,2,10,right,1,0.76504,1509.716709,1510.481749,0.769092
Johan_binarual,1,binaural,87,1,0,0.0,right,20,102,1,11,left,0,1.556824,1511.649947,1513.206771,1.557934
Johan_binarual,1,binaural,88,1,0,0.06,left,20,107,1,10,left,1,1.34873,1514.282691,1515.631421,1.34965
Johan_binarual,1,binaural,89,1,0,0.12,left,20,113,1,10,left,1,1.028556,1516.67109,1517.699646,1.030168
Johan_binarual,1,binaural,90,1,0,0.12,left,20,113,1,10,left,1,0.947661,1518.684892,1519.632552,0.949249
Johan_binarual,1,binaural,91,1,0,0.03,right,20,105,2,10,right,1,1.122191,1520.829625,1521.951816,1.132957
Johan_binarual,1,binaural,92,1,0,0.06,left,20,107,2,11,right,0,1.576242,1523.170256,1524.746498,1.576966
Johan_binarual,1,binaural,93,1,0,0.25,right,20,127,2,10,right,1,1.724111,1525.937827,1527.661938,1.724664
Johan_binarual,1,binaural,94,1,0,0.25,left,20,126,1,10,left,1,0.926986,1528.704493,1529.63148,0.928183
Johan_binarual,1,binaural,95,1,0,0.0,left,20,101,2,11,right,0,1.44764,1530.418375,1531.866015,1.449057
Johan_binarual,1,binaural,96,1,0,0.0,right,20,102,1,11,left,0,1.551289,1532.978808,1534.530097,1.551954
Johan_binarual,1,binaural,97,1,0,0.06,left,20,107,1,10,left,1,1.016418,1535.563098,1536.579517,1.01697
Johan_binarual,1,binaural,98,1,0,0.0,left,20,101,2,11,right,0,1.177011,1537.528695,1538.705706,1.177754
Johan_binarual,1,binaural,99,1,0,0.06,left,20,107,1,10,left,1,1.199183,1539.637878,1540.837062,1.199752
Johan_binarual,1,binaural,100,1,0,0.03,left,20,104,2,11,right,0,1.257772,1541.794229,1543.052001,1.268512
Johan_binarual,1,binaural,101,1,0,0.03,right,20,105,1,11,left,0,1.402358,1544.036462,1545.438821,1.403096
Johan_binarual,1,binaural,102,1,0,0.25,right,20,127,2,10,right,1,0.743888,1546.60372,1547.347608,0.747915
Johan_binarual,1,binaural,103,1,0,0.0,left,20,101,1,10,left,1,1.394199,1548.37104,1549.765239,1.39525
Johan_binarual,1,binaural,104,1,0,0.25,right,20,127,2,10,right,1,0.78879,1550.628884,1551.417675,0.800396
Johan_binarual,1,binaural,105,1,0,0.12,right,20,114,2,10,right,1,1.228459,1552.669746,1553.898206,1.229321
Johan_binarual,1,binaural,106,1,0,0.25,right,20,127,2,10,right,1,0.689579,1555.09551,1555.78509,0.699875
Johan_binarual,1,binaural,107,1,0,0.06,left,20,107,1,10,left,1,1.076461,1556.836929,1557.91339,1.077174
Johan_binarual,1,binaural,108,1,0,0.5,left,20,151,1,10,left,1,1.777371,1559.070889,1560.84826,1.778413
Johan_binarual,1,binaural,109,1,0,0.25,left,20,126,2,11,right,0,1.652555,1561.860819,1563.513374,1.653273
Johan_binarual,1,binaural,110,1,0,0.03,right,20,105,1,11,left,0,1.421755,1564.510874,1565.932629,1.422515
Johan_binarual,1,binaural,111,1,0,0.25,right,20,127,2,10,right,1,0.789899,1566.810908,1567.600807,0.801141
Johan_binarual,1,binaural,112,1,0,0.06,right,20,108,2,10,right,1,1.233884,1568.537648,1569.771533,1.234532
Johan_binarual,1,binaural,113,1,0,0.0,left,20,101,1,10,left,1,1.361073,1570.787576,1572.148649,1.362153
Johan_binarual,1,binaural,114,1,0,0.5,right,20,152,2,10,right,1,0.983574,1573.161916,1574.145489,0.984136
Johan_binarual,1,binaural,115,1,0,0.0,right,20,102,1,11,left,0,1.094557,1575.236343,1576.3309,1.095325
Johan_binarual,1,binaural,116,1,0,0.12,right,20,114,2,10,right,1,1.147027,1577.185842,1578.332869,1.150473
Johan_binarual,1,binaural,117,1,0,0.25,left,20,126,1,10,left,1,0.994839,1579.411859,1580.406699,0.995911
Johan_binarual,1,binaural,118,1,0,0.03,left,20,104,2,11,right,0,1.513647,1581.601967,1583.115614,1.514304
Johan_binarual,1,binaural,119,1,0,0.25,left,20,126,1,10,left,1,0.661425,1584.153908,1584.815334,0.662732
Johan_binarual,1,binaural,120,1,0,0.25,right,20,127,2,10,right,1,0.683742,1585.779813,1586.463555,0.68441
Johan_binarual,1,binaural,121,2,0,0.06,right,20,108,2,10,right,1,0.747648,1603.333907,1604.081555,0.748363
Johan_binarual,1,binaural,122,2,0,0.12,left,20,113,1,10,left,1,0.634127,1605.080133,1605.71426,0.635272
Johan_binarual,1,binaural,123,2,0,0.12,right,20,114,2,10,right,1,0.750835,1606.61293,1607.363766,0.751616
Johan_binarual,1,binaural,124,2,0,0.03,left,20,104,1,10,left,1,1.048937,1608.265024,1609.313961,1.049973
Johan_binarual,1,binaural,125,2,0,0.03,left,20,104,2,11,right,0,0.677803,1610.454103,1611.131906,0.680718
Johan_binarual,1,binaural,126,2,0,0.03,right,20,105,2,10,right,1,0.766417,1612.314828,1613.081246,0.767207
Johan_binarual,1,binaural,127,2,0,0.0,right,20,102,1,11,left,0,0.745555,1614.151849,1614.897404,0.751238
Johan_binarual,1,binaural,128,2,0,0.06,left,20,107,1,10,left,1,0.803418,1616.01167,1616.815088,0.804428
Johan_binarual,1,binaural,129,2,0,0.0,right,20,102,2,10,right,1,0.661628,1617.819946,1618.481573,0.662573
Johan_binarual,1,binaural,130,2,0,0.25,left,20,126,1,10,left,1,0.577868,1619.268678,1619.846545,0.578426
Johan_binarual,1,binaural,131,2,0,0.03,left,20,104,2,11,right,0,0.961439,1620.887683,1621.849123,0.962707
Johan_binarual,1,binaural,132,2,0,0.03,right,20,105,2,10,right,1,1.419116,1622.862385,1624.281501,1.41983
Johan_binarual,1,binaural,133,2,0,0.5,right,20,152,1,11,left,0,0.970769,1625.235192,1626.205961,0.971488
Johan_binarual,1,binaural,134,2,0,0.03,left,20,104,1,10,left,1,1.061059,1627.052705,1628.113764,1.061736
Johan_binarual,1,binaural,135,2,0,0.06,right,20,108,2,10,right,1,0.780795,1629.052224,1629.833018,0.78222
Johan_binarual,1,binaural,136,2,0,0.0,left,20,101,1,10,left,1,0.854596,1630.829716,1631.684312,0.867129
Johan_binarual,1,binaural,137,2,0,0.03,left,20,104,2,11,right,0,1.574855,1632.547651,1634.122506,1.575532
Johan_binarual,1,binaural,138,2,0,0.12,left,20,113,1,10,left,1,0.762339,1635.269752,1636.03209,0.763558
Johan_binarual,1,binaural,139,2,0,0.12,right,20,114,1,11,left,0,1.246158,1637.085227,1638.331385,1.246853
Johan_binarual,1,binaural,140,2,0,0.5,left,20,151,1,10,left,1,0.818181,1639.251819,1640.07,0.81885
Johan_binarual,1,binaural,141,2,0,0.03,left,20,104,2,11,right,0,0.820673,1641.018966,1641.839639,0.821368
