participant_id,session,task_type,trial_number,block_number,is_practice,coherence,direction,trial_start_trigger,stimulus_trigger,response_trigger,feedback_trigger,response,accuracy,reaction_time,stimulus_onset_time,response_time,trial_duration
TUT,1,binaural,1,0,1,0.4,right,20,142,nan,12,none,nan,nan,1312.546309,nan,2.013195
TUT,1,binaural,2,0,1,0.4,right,20,142,nan,12,none,nan,nan,1316.542437,nan,2.000816
TUT,1,binaural,3,0,1,0.4,left,20,141,1,10,left,1,0.785136,1320.659563,1321.444699,0.800076
TUT,1,binaural,4,0,1,0.4,left,20,141,1,10,left,1,1.183443,1323.092939,1324.276382,1.183677
TUT,1,binaural,5,0,1,0.4,left,20,141,2,11,right,0,1.200185,1325.993175,1327.19336,1.200377
TUT,1,binaural,6,0,1,0.4,left,20,141,2,11,right,0,0.867166,1328.676962,1329.544128,0.867373
TUT,1,binaural,7,0,1,0.4,left,20,141,1,10,left,1,1.051924,1331.026138,1332.078062,1.052268
TUT,1,binaural,8,0,1,0.4,left,20,141,1,10,left,1,1.419651,1333.642967,1335.062618,1.434383
TUT,1,binaural,9,0,1,0.4,right,20,142,2,10,right,1,1.384567,1336.726536,1338.111103,1.384766
TUT,1,binaural,10,0,1,0.4,right,20,142,2,10,right,1,0.950522,1339.593674,1340.544196,0.950727
TUT,1,binaural,11,0,1,0.4,left,20,141,1,10,left,1,1.200308,1342.277143,1343.477451,1.200569
TUT,1,binaural,12,0,1,0.4,right,20,142,2,10,right,1,0.667073,1345.210172,1345.877245,0.667282
TUT,1,binaural,13,0,1,0.4,right,20,142,2,10,right,1,0.716685,1347.510837,1348.227522,0.716943
TUT,1,binaural,14,0,1,0.4,right,20,142,nan,12,none,nan,nan,1349.8605,nan,2.00009
TUT,1,binaural,1,1,0,0.12,right,20,114,2,10,right,1,1.183466,1358.428035,1359.611501,1.183651
TUT,1,binaural,2,1,0,0.03,right,20,105,2,10,right,1,0.917912,1360.544469,1361.462382,0.918192
TUT,1,binaural,3,1,0,0.03,left,20,104,2,11,right,0,0.817131,1362.478357,1363.295487,0.817334
TUT,1,binaural,4,1,0,0.03,left,20,104,1,10,left,1,0.683759,1364.311357,1364.995116,0.683947
TUT,1,binaural,5,1,0,0.25,right,20,127,2,10,right,1,0.619269,1366.095198,1366.714466,0.633594
TUT,1,binaural,6,1,0,0.03,right,20,105,1,11,left,0,1.10056,1367.644775,1368.745335,1.100747
TUT,1,binaural,7,1,0,0.12,left,20,113,2,11,right,0,0.783515,1369.811916,1370.595431,0.783765
TUT,1,binaural,8,1,0,0.5,left,20,151,1,10,left,1,0.717967,1371.694948,1372.412915,0.718184
TUT,1,binaural,9,1,0,0.03,right,20,105,2,10,right,1,0.6509,1373.578718,1374.229618,0.651129
TUT,1,binaural,10,1,0,0.5,left,20,151,1,10,left,1,0.634723,1375.128179,1375.762902,0.634932
TUT,1,binaural,11,1,0,0.06,left,20,107,2,11,right,0,0.585024,1376.878333,1377.463357,0.585222
TUT,1,binaural,12,1,0,0.0,left,20,101,1,10,left,1,1.000221,1378.512234,1379.512456,1.000467
TUT,1,binaural,13,1,0,0.0,left,20,101,2,11,right,0,0.650658,1380.545236,1381.195894,0.650974
TUT,1,binaural,14,1,0,0.12,right,20,114,2,10,right,1,0.866791,1382.412815,1383.279606,0.866985
TUT,1,binaural,15,1,0,0.12,right,20,114,2,10,right,1,0.583653,1384.362579,1384.946232,0.583841
TUT,1,binaural,16,1,0,0.5,right,20,152,2,10,right,1,0.533317,1386.162891,1386.696207,0.533551
TUT,1,binaural,17,1,0,0.5,left,20,151,1,10,left,1,0.536111,1387.795579,1388.33169,0.550442
TUT,1,binaural,18,1,0,0.5,left,20,151,1,10,left,1,0.651216,1389.478883,1390.130099,0.651414
TUT,1,binaural,19,1,0,0.03,right,20,105,2,10,right,1,0.669627,1391.062367,1391.731995,0.683608
TUT,1,binaural,20,1,0,0.0,left,20,101,1,10,left,1,0.718885,1392.729921,1393.448806,0.733048
TUT,1,binaural,21,1,0,0.03,left,20,104,2,11,right,0,0.600786,1394.49629,1395.097076,0.600976
TUT,1,binaural,22,1,0,0.5,right,20,152,2,10,right,1,0.583734,1396.163036,1396.74677,0.583929
TUT,1,binaural,23,1,0,0.25,left,20,126,1,10,left,1,0.583563,1397.779591,1398.363154,0.583821
TUT,1,binaural,24,1,0,0.25,right,20,127,2,10,right,1,0.550451,1399.379929,1399.93038,0.550723
TUT,1,binaural,25,1,0,0.5,left,20,151,1,10,left,1,0.500758,1401.012337,1401.513095,0.501067
TUT,1,binaural,26,1,0,0.03,left,20,104,2,11,right,0,0.969175,1402.363038,1403.332213,0.983966
TUT,1,binaural,27,1,0,0.0,left,20,101,2,11,right,0,0.900903,1404.279778,1405.180681,0.9011
TUT,1,binaural,28,1,0,0.03,right,20,105,2,10,right,1,1.067664,1406.41297,1407.480634,1.067857
TUT,1,binaural,29,1,0,0.0,right,20,102,1,11,left,0,0.800896,1408.563758,1409.364655,0.801082
TUT,1,binaural,30,1,0,0.5,right,20,152,2,10,right,1,0.584447,1410.346455,1410.930903,0.584635
TUT,1,binaural,31,1,0,0.5,left,20,151,1,10,left,1,0.467171,1411.963239,1412.43041,0.467381
TUT,1,binaural,32,1,0,0.0,left,20,101,1,10,left,1,0.666846,1413.513837,1414.180682,0.667098
TUT,1,binaural,33,1,0,0.03,right,20,105,1,11,left,0,0.734149,1415.23056,1415.964709,0.734337
TUT,1,binaural,34,1,0,0.0,left,20,101,1,10,left,1,0.584097,1417.147126,1417.731224,0.584293
TUT,1,binaural,35,1,0,0.12,left,20,113,2,11,right,0,0.584031,1418.797375,1419.381406,0.584226
TUT,1,binaural,36,1,0,0.0,right,20,102,1,11,left,0,0.551129,1420.330377,1420.881506,0.551334
TUT,1,binaural,37,1,0,0.03,right,20,105,2,10,right,1,0.501655,1421.831365,1422.33302,0.516242
TUT,1,binaural,38,1,0,0.03,right,20,105,1,11,left,0,0.551154,1423.347213,1423.898368,0.55134
TUT,1,binaural,39,1,0,0.12,left,20,113,1,10,left,1,0.500996,1424.930919,1425.431914,0.501336
TUT,1,binaural,40,1,0,0.0,left,20,101,2,11,right,0,0.569121,1426.330963,1426.900084,0.584222
TUT,1,binaural,41,1,0,0.03,right,20,105,1,11,left,0,0.701388,1427.863771,1428.565159,0.701581
TUT,1,binaural,42,1,0,0.03,left,20,104,1,10,left,1,0.616569,1429.76472,1430.381289,0.616798
TUT,1,binaural,43,1,0,0.06,right,20,108,1,11,left,0,0.70046,1431.281372,1431.981832,0.700692
TUT,1,binaural,44,1,0,0.25,right,20,127,2,10,right,1,0.600466,1432.998138,1433.598604,0.600838
TUT,1,binaural,45,1,0,0.5,right,20,152,2,10,right,1,0.600474,1434.681188,1435.281662,0.600663
TUT,1,binaural,46,1,0,0.12,left,20,113,1,10,left,1,1.300375,1436.181605,1437.48198,1.3006
TUT,1,binaural,47,1,0,0.12,left,20,113,2,11,right,0,0.734209,1438.514455,1439.248664,0.73439
TUT,1,binaural,48,1,0,0.5,right,20,152,2,10,right,1,0.533773,1440.064743,1440.598515,0.534019
TUT,1,binaural,49,1,0,0.5,left,20,151,1,10,left,1,0.533889,1441.681508,1442.215397,0.534157
TUT,1,binaural,50,1,0,0.12,right,20,114,2,10,right,1,0.601065,1443.24807,1443.849135,0.601267
TUT,1,binaural,51,1,0,0.03,right,20,105,1,11,left,0,0.536019,1444.898503,1445.434522,0.550524
TUT,1,binaural,52,1,0,0.06,right,20,108,1,11,left,0,0.701129,1446.531609,1447.232738,0.701324
TUT,1,binaural,53,1,0,0.12,left,20,113,1,10,left,1,0.567501,1448.182181,1448.749681,0.567692
TUT,1,binaural,54,1,0,0.03,left,20,104,1,10,left,1,0.519795,1449.765188,1450.284983,0.533825
TUT,1,binaural,55,1,0,0.12,right,20,114,2,10,right,1,0.818361,1451.314936,1452.133298,0.818565
TUT,1,binaural,56,1,0,0.5,right,20,152,2,10,right,1,0.568375,1453.398905,1453.96728,0.583364
TUT,1,binaural,57,1,0,0.0,left,20,101,1,10,left,1,0.850623,1455.015376,1455.865999,0.850815
TUT,1,binaural,58,1,0,0.03,left,20,104,1,10,left,1,0.484795,1457.065532,1457.550326,0.484992
TUT,1,binaural,59,1,0,0.06,left,20,107,1,10,left,1,0.733998,1458.41567,1459.149668,0.734187
TUT,1,binaural,60,1,0,0.06,left,20,107,2,11,right,0,0.86778,1460.298762,1461.166542,0.868126
TUT,1,binaural,61,1,0,0.06,right,20,108,1,11,left,0,1.168598,1462.231345,1463.399943,1.168832
TUT,1,binaural,62,1,0,0.12,right,20,114,1,11,left,0,0.783693,1464.599601,1465.383294,0.783892
TUT,1,binaural,63,1,0,0.03,right,20,105,2,10,right,1,1.133781,1466.533022,1467.666803,1.134037
TUT,1,binaural,64,1,0,0.0,right,20,102,1,11,left,0,0.817248,1468.583069,1469.400318,0.817458
TUT,1,binaural,65,1,0,0.12,left,20,113,2,11,right,0,0.850535,1470.416169,1471.266704,0.850727
TUT,1,binaural,66,1,0,0.12,left,20,113,2,11,right,0,0.951228,1472.383111,1473.334339,0.95141
TUT,1,binaural,67,1,0,0.5,right,20,152,2,10,right,1,0.534139,1474.400031,1474.93417,0.534335
TUT,1,binaural,68,1,0,0.0,left,20,101,1,10,left,1,0.717017,1476.099913,1476.81693,0.717217
TUT,1,binaural,69,1,0,0.06,left,20,107,1,10,left,1,0.63411,1477.849996,1478.484106,0.634313
TUT,1,binaural,70,1,0,0.03,right,20,105,1,11,left,0,0.784198,1479.466404,1480.250602,0.784381
TUT,1,binaural,71,1,0,0.25,right,20,127,2,10,right,1,0.567284,1481.300193,1481.867477,0.567481
TUT,1,binaural,72,1,0,0.0,left,20,101,1,10,left,1,0.767897,1483.016517,1483.784414,0.768092
TUT,1,binaural,73,1,0,0.5,left,20,151,1,10,left,1,0.634343,1484.700469,1485.334812,0.634536
TUT,1,binaural,74,1,0,0.5,left,20,151,1,10,left,1,0.600737,1486.249932,1486.850669,0.600931
TUT,1,binaural,75,1,0,0.0,right,20,102,1,11,left,0,0.950556,1487.750479,1488.701036,0.950808
TUT,1,binaural,76,1,0,0.0,left,20,101,1,10,left,1,0.717143,1489.650745,1490.367888,0.717315
TUT,1,binaural,77,1,0,0.5,right,20,152,2,10,right,1,0.466911,1491.234049,1491.700959,0.46715
TUT,1,binaural,78,1,0,0.25,left,20,126,1,10,left,1,0.766185,1492.701193,1493.467378,0.766374
TUT,1,binaural,79,1,0,0.5,right,20,152,2,10,right,1,0.552231,1494.484248,1495.036479,0.567044
TUT,1,binaural,80,1,0,0.25,left,20,126,1,10,left,1,0.650649,1496.01759,1496.668239,0.650847
TUT,1,binaural,81,1,0,0.03,right,20,105,1,11,left,0,0.684034,1497.584318,1498.268352,0.684225
TUT,1,binaural,82,1,0,0.12,left,20,113,1,10,left,1,0.783755,1499.26769,1500.051445,0.783938
TUT,1,binaural,83,1,0,0.06,left,20,107,1,10,left,1,0.7526,1501.117352,1501.869952,0.76753
TUT,1,binaural,84,1,0,0.06,left,20,107,1,10,left,1,0.767761,1503.084145,1503.851907,0.767948
TUT,1,binaural,85,1,0,0.12,left,20,113,1,10,left,1,0.717445,1504.984672,1505.702117,0.717637
TUT,1,binaural,86,1,0,0.5,left,20,151,1,10,left,1,0.533736,1506.734493,1507.268229,0.53392
TUT,1,binaural,87,1,0,0.5,right,20,152,2,10,right,1,0.567661,1508.284768,1508.852429,0.567888
TUT,1,binaural,88,1,0,0.25,left,20,126,1,10,left,1,0.650331,1509.868036,1510.518367,0.650532
TUT,1,binaural,89,1,0,0.25,left,20,126,1,10,left,1,0.500344,1511.602012,1512.102356,0.500579
TUT,1,binaural,90,1,0,0.5,left,20,151,1,10,left,1,0.501077,1513.151263,1513.65234,0.501263
TUT,1,binaural,91,1,0,0.06,left,20,107,1,10,left,1,0.767708,1514.585063,1515.35277,0.767893
TUT,1,binaural,92,1,0,0.25,right,20,127,2,10,right,1,0.750916,1516.384993,1517.13591,0.751153
TUT,1,binaural,93,1,0,0.03,right,20,105,2,10,right,1,0.834069,1518.018779,1518.852848,0.834293
TUT,1,binaural,94,1,0,0.5,left,20,151,1,10,left,1,0.60277,1519.701486,1520.304256,0.617882
TUT,1,binaural,95,1,0,0.06,left,20,107,1,10,left,1,0.63353,1521.368056,1522.001586,0.633658
TUT,1,binaural,96,1,0,0.06,right,20,108,2,10,right,1,0.600779,1523.085386,1523.686165,0.600966
TUT,1,binaural,97,1,0,0.06,right,20,108,2,10,right,1,0.866901,1524.568888,1525.435788,0.867145
TUT,1,binaural,98,1,0,0.25,left,20,126,1,10,left,1,0.716805,1526.619041,1527.335845,0.717077
TUT,1,binaural,99,1,0,0.03,left,20,104,1,10,left,1,0.866646,1528.453115,1529.319761,0.866832
TUT,1,binaural,100,1,0,0.03,left,20,104,1,10,left,1,0.650523,1530.352559,1531.003083,0.650711
TUT,1,binaural,101,1,0,0.25,left,20,126,1,10,left,1,0.633507,1532.102653,1532.73616,0.633778
TUT,1,binaural,102,1,0,0.25,left,20,126,1,10,left,1,0.750779,1533.935668,1534.686448,0.750968
TUT,1,binaural,103,1,0,0.03,right,20,105,1,11,left,0,0.783443,1535.736077,1536.519521,0.783644
TUT,1,binaural,104,1,0,0.06,right,20,108,2,10,right,1,0.817204,1537.569083,1538.386286,0.8174
TUT,1,binaural,105,1,0,0.25,right,20,127,2,10,right,1,0.583805,1539.585993,1540.169797,0.584037
TUT,1,binaural,106,1,0,0.5,right,20,152,2,10,right,1,0.533793,1541.253101,1541.786894,0.5341
TUT,1,binaural,107,1,0,0.06,left,20,107,1,10,left,1,0.584322,1542.802734,1543.387056,0.58455
TUT,1,binaural,108,1,0,0.12,left,20,113,1,10,left,1,0.700758,1544.386333,1545.087091,0.701023
TUT,1,binaural,109,1,0,0.5,right,20,152,2,10,right,1,0.600472,1546.136432,1546.736904,0.600662
TUT,1,binaural,110,1,0,0.03,left,20,104,1,10,left,1,0.583633,1547.703701,1548.287334,0.583822
TUT,1,binaural,111,1,0,0.12,right,20,114,1,11,left,0,0.551367,1549.386276,1549.937643,0.551553
TUT,1,binaural,112,1,0,0.03,right,20,105,1,11,left,0,0.7511,1550.836827,1551.587928,0.751293
TUT,1,binaural,113,1,0,0.25,right,20,127,1,11,left,0,0.634495,1552.820185,1553.45468,0.634691
TUT,1,binaural,114,1,0,0.06,left,20,107,1,10,left,1,0.836392,1554.336747,1555.173139,0.850796
TUT,1,binaural,115,1,0,0.0,right,20,102,1,11,left,0,0.717096,1556.237313,1556.954409,0.71729
TUT,1,binaural,116,1,0,0.5,right,20,152,2,10,right,1,0.601921,1558.054247,1558.656168,0.616928
TUT,1,binaural,117,1,0,0.03,right,20,105,1,11,left,0,0.583811,1559.636892,1560.220703,0.583998
TUT,1,binaural,118,1,0,0.03,left,20,104,2,11,right,0,0.850651,1561.270808,1562.121459,0.85092
TUT,1,binaural,119,1,0,0.06,right,20,108,2,10,right,1,0.96773,1563.02036,1563.98809,0.968001
TUT,1,binaural,120,1,0,0.06,left,20,107,1,10,left,1,1.400486,1565.004316,1566.404801,1.400687
TUT,1,binaural,121,2,0,0.03,left,20,104,1,10,left,1,1.716358,1574.770569,1576.486927,1.716525
TUT,1,binaural,122,2,0,0.06,left,20,107,1,10,left,1,0.651623,1577.553535,1578.205158,0.651757
TUT,1,binaural,123,2,0,0.12,right,20,114,1,11,left,0,0.650547,1579.188159,1579.838706,0.650747
TUT,1,binaural,124,2,0,0.12,left,20,113,1,10,left,1,0.749907,1580.987754,1581.737661,0.75003
TUT,1,binaural,125,2,0,0.5,right,20,152,2,10,right,1,0.584348,1582.687962,1583.27231,0.584542
TUT,1,binaural,126,2,0,0.5,right,20,152,1,11,left,0,0.684291,1584.288324,1584.972615,0.684493
TUT,1,binaural,127,2,0,0.25,right,20,127,1,11,left,0,0.550667,1585.938318,1586.488985,0.550855
TUT,1,binaural,128,2,0,0.12,left,20,113,1,10,left,1,0.617793,1587.571301,1588.189095,0.618052
TUT,1,binaural,129,2,0,0.06,left,20,107,1,10,left,1,0.701192,1589.188396,1589.889588,0.701419
TUT,1,binaural,130,2,0,0.06,right,20,108,1,11,left,0,0.768096,1590.821443,1591.589538,0.768285
TUT,1,binaural,131,2,0,0.5,right,20,152,2,10,right,1,0.600304,1592.471941,1593.072245,0.60057
TUT,1,binaural,132,2,0,0.25,left,20,126,1,10,left,1,0.650512,1594.171857,1594.822369,0.650767
TUT,1,binaural,133,2,0,0.03,left,20,104,2,11,right,0,0.80074,1595.855287,1596.656027,0.800929
TUT,1,binaural,134,2,0,0.25,right,20,127,2,10,right,1,0.6171,1597.722628,1598.339727,0.617281
TUT,1,binaural,135,2,0,0.5,right,20,152,1,11,left,0,0.583481,1599.372326,1599.955807,0.583668
TUT,1,binaural,136,2,0,0.06,right,20,108,1,11,left,0,0.600569,1601.038999,1601.639568,0.600765
TUT,1,binaural,137,2,0,0.25,left,20,126,1,10,left,1,0.58388,1602.572457,1603.156338,0.584085
TUT,1,binaural,138,2,0,0.0,left,20,101,1,10,left,1,0.817217,1604.155605,1604.972822,0.817401
TUT,1,binaural,139,2,0,0.0,left,20,101,1,10,left,1,0.683698,1606.155746,1606.839443,0.683921
TUT,1,binaural,140,2,0,0.03,right,20,105,1,11,left,0,0.801113,1607.955729,1608.756842,0.801301
TUT,1,binaural,141,2,0,0.06,right,20,108,1,11,left,0,0.717432,1609.868593,1610.586025,0.717618
TUT,1,binaural,142,2,0,0.06,right,20,108,1,11,left,0,0.83388,1611.702056,1612.535936,0.834071
TUT,1,binaural,143,2,0,0.5,left,20,151,1,10,left,1,0.583786,1613.6354,1614.219187,0.583963
TUT,1,binaural,144,2,0,0.06,right,20,108,1,11,left,0,0.784123,1615.318997,1616.103121,0.784327
TUT,1,binaural,145,2,0,0.06,right,20,108,1,11,left,0,0.683533,1617.285567,1617.9691,0.683772
TUT,1,binaural,146,2,0,0.5,left,20,151,1,10,left,1,0.567702,1619.118555,1619.686257,0.567893
TUT,1,binaural,147,2,0,0.12,left,20,113,2,11,right,0,0.717723,1620.802053,1621.519775,0.717962
TUT,1,binaural,148,2,0,0.25,left,20,126,1,10,left,1,0.600382,1622.585737,1623.186119,0.600583
TUT,1,binaural,149,2,0,0.5,left,20,151,1,10,left,1,0.53404,1624.302204,1624.836244,0.534227
TUT,1,binaural,150,2,0,0.25,right,20,127,2,10,right,1,0.75022,1625.869533,1626.619752,0.750439
TUT,1,binaural,151,2,0,0.0,left,20,101,1,10,left,1,0.683906,1627.569155,1628.25306,0.684097
TUT,1,binaural,152,2,0,0.0,right,20,102,1,11,left,0,0.883595,1629.452911,1630.336506,0.883794
TUT,1,binaural,153,2,0,0.5,left,20,151,1,10,left,1,0.500484,1631.385829,1631.886313,0.500752
TUT,1,binaural,154,2,0,0.03,left,20,104,1,10,left,1,0.566922,1633.002833,1633.569754,0.5671
TUT,1,binaural,155,2,0,0.03,right,20,105,2,10,right,1,0.719,1634.536154,1635.255154,0.733782
TUT,1,binaural,156,2,0,0.12,right,20,114,2,10,right,1,0.651268,1636.269934,1636.921202,0.651458
TUT,1,binaural,157,2,0,0.03,left,20,104,1,10,left,1,0.48383,1637.969937,1638.453767,0.484021
