participant_id,session,task_type,trial_number,block_number,is_practice,coherence,direction,trial_start_trigger,stimulus_trigger,response_trigger,feedback_trigger,response,accuracy,reaction_time,stimulus_onset_time,response_time,trial_duration
TUT,1,control,1,0,1,0.4,left,20,141,1,10,left,1,0.887086,1233.639973,1234.527059,0.901475
TUT,1,control,2,0,1,0.4,left,20,141,1,10,left,1,0.58444,1236.307596,1236.892035,0.584678
TUT,1,control,3,0,1,0.4,left,20,141,1,10,left,1,0.568323,1238.274471,1238.842794,0.56853
TUT,1,control,4,0,1,0.4,right,20,142,1,11,left,0,0.467283,1240.491499,1240.958782,0.46748
TUT,1,control,5,0,1,0.4,left,20,141,1,10,left,1,0.567342,1242.624706,1243.192048,0.567539
TUT,1,control,6,0,1,0.4,left,20,141,1,10,left,1,0.501646,1244.691206,1245.192851,0.501851
TUT,1,control,7,0,1,0.4,right,20,142,2,10,right,1,0.335116,1246.741927,1247.077043,0.349928
TUT,1,control,8,0,1,0.4,right,20,142,2,10,right,1,0.533632,1248.442029,1248.975661,0.533889
TUT,1,control,9,0,1,0.4,right,20,142,1,11,left,0,0.967298,1250.575078,1251.542376,0.967553
TUT,1,control,10,0,1,0.4,left,20,141,1,10,left,1,0.55084,1253.141802,1253.692642,0.551036
TUT,1,control,11,0,1,0.4,left,20,141,1,10,left,1,0.600527,1255.091805,1255.692332,0.600758
TUT,1,control,12,0,1,0.4,right,20,142,2,10,right,1,0.684077,1257.458565,1258.142643,0.684313
TUT,1,control,13,0,1,0.4,right,20,142,2,10,right,1,0.649431,1259.676218,1260.325649,0.649654
TUT,1,control,14,0,1,0.4,right,20,142,2,10,right,1,0.534829,1261.958981,1262.49381,0.535031
TUT,1,control,1,1,0,0.06,right,20,108,1,11,left,0,0.6012,1267.459479,1268.060679,0.601447
TUT,1,control,2,1,0,0.25,right,20,127,2,10,right,1,0.566838,1269.09278,1269.659618,0.567126
TUT,1,control,3,1,0,0.0,right,20,102,1,11,left,0,0.50006,1270.709758,1271.209818,0.500295
TUT,1,control,4,1,0,0.06,left,20,107,1,10,left,1,0.633495,1272.192818,1272.826313,0.633731
TUT,1,control,5,1,0,0.12,right,20,114,1,11,left,0,0.733982,1273.742704,1274.476686,0.734265
TUT,1,control,6,1,0,0.0,right,20,102,1,11,left,0,0.733651,1275.543158,1276.276809,0.73385
TUT,1,control,7,1,0,0.25,left,20,126,1,10,left,1,0.635065,1277.409361,1278.044426,0.635253
TUT,1,control,8,1,0,0.06,right,20,108,1,11,left,0,0.634496,1279.076316,1279.710812,0.634778
TUT,1,control,9,1,0,0.25,right,20,127,1,11,left,0,0.600323,1280.893418,1281.493741,0.600543
TUT,1,control,10,1,0,0.5,left,20,151,1,10,left,1,0.533286,1282.660189,1283.193475,0.53354
TUT,1,control,11,1,0,0.0,left,20,101,1,10,left,1,0.66725,1284.460332,1285.127582,0.667445
TUT,1,control,12,1,0,0.03,left,20,104,1,10,left,1,0.700252,1286.343569,1287.043822,0.700451
TUT,1,control,13,1,0,0.03,right,20,105,1,11,left,0,0.834178,1287.943433,1288.777611,0.834382
TUT,1,control,14,1,0,0.25,left,20,126,1,10,left,1,0.733963,1289.810449,1290.544412,0.734171
TUT,1,control,15,1,0,0.25,right,20,127,2,10,right,1,0.584073,1291.710628,1292.294701,0.584266
TUT,1,control,16,1,0,0.0,left,20,101,1,10,left,1,0.850356,1293.293916,1294.144272,0.850554
TUT,1,control,17,1,0,0.12,left,20,113,1,10,left,1,0.649651,1295.293691,1295.943341,0.649775
TUT,1,control,18,1,0,0.5,right,20,152,2,10,right,1,0.7164,1297.177342,1297.893742,0.716532
TUT,1,control,19,1,0,0.25,left,20,126,1,10,left,1,0.533791,1299.077697,1299.611487,0.53398
TUT,1,control,20,1,0,0.0,right,20,102,1,11,left,0,0.717371,1300.494292,1301.211663,0.717567
TUT,1,control,21,1,0,0.25,left,20,126,1,10,left,1,0.553076,1302.244054,1302.797129,0.567572
TUT,1,control,22,1,0,0.5,right,20,152,2,10,right,1,0.60204,1303.760905,1304.362945,0.616929
TUT,1,control,23,1,0,0.25,right,20,127,2,10,right,1,0.902807,1305.427735,1306.330542,0.917226
TUT,1,control,24,1,0,0.12,left,20,113,1,10,left,1,0.602575,1307.294599,1307.897174,0.617422
TUT,1,control,25,1,0,0.25,left,20,126,1,10,left,1,0.600604,1308.928218,1309.528821,0.600794
TUT,1,control,26,1,0,0.06,left,20,107,1,10,left,1,0.684133,1310.594631,1311.278764,0.684323
TUT,1,control,27,1,0,0.25,left,20,126,1,10,left,1,0.567907,1312.211655,1312.779562,0.568109
TUT,1,control,28,1,0,0.25,left,20,126,1,10,left,1,0.518023,1313.961074,1314.479097,0.518225
TUT,1,control,29,1,0,0.5,left,20,151,1,10,left,1,0.500635,1315.544907,1316.045542,0.500825
TUT,1,control,30,1,0,0.06,left,20,107,1,10,left,1,0.583806,1317.228343,1317.812149,0.584031
TUT,1,control,31,1,0,0.06,right,20,108,1,11,left,0,0.55037,1318.911889,1319.462258,0.550551
TUT,1,control,32,1,0,0.12,right,20,114,1,11,left,0,0.733488,1320.445022,1321.17851,0.733705
TUT,1,control,33,1,0,0.12,right,20,114,2,10,right,1,0.750666,1322.261538,1323.012203,0.750923
TUT,1,control,34,1,0,0.12,right,20,114,2,10,right,1,0.867047,1324.079384,1324.946431,0.867517
TUT,1,control,35,1,0,0.03,left,20,104,1,10,left,1,0.700635,1325.912189,1326.612824,0.70084
TUT,1,control,36,1,0,0.06,right,20,108,2,10,right,1,0.71751,1327.477559,1328.195068,0.717645
TUT,1,control,37,1,0,0.12,left,20,113,1,10,left,1,0.584218,1329.078517,1329.662735,0.599516
TUT,1,control,38,1,0,0.0,left,20,101,1,10,left,1,1.069959,1330.662402,1331.732361,1.083809
TUT,1,control,39,1,0,0.25,right,20,127,2,10,right,1,0.617991,1332.84546,1333.463451,0.61821
TUT,1,control,40,1,0,0.12,left,20,113,1,10,left,1,0.967618,1334.612602,1335.580221,0.967812
TUT,1,control,41,1,0,0.12,left,20,113,1,10,left,1,0.702635,1336.629621,1337.332256,0.716264
TUT,1,control,42,1,0,0.5,left,20,151,1,10,left,1,1.000769,1338.195922,1339.196691,1.001127
TUT,1,control,43,1,0,0.03,right,20,105,2,10,right,1,0.699922,1340.080236,1340.780159,0.700187
TUT,1,control,44,1,0,0.06,right,20,108,2,10,right,1,0.667126,1341.79629,1342.463416,0.667324
TUT,1,control,45,1,0,0.0,right,20,102,2,10,right,1,0.716446,1343.563224,1344.27967,0.716682
TUT,1,control,46,1,0,0.03,right,20,105,2,10,right,1,0.816893,1345.196322,1346.013215,0.817131
TUT,1,control,47,1,0,0.0,right,20,102,2,10,right,1,0.900167,1346.879835,1347.780002,0.90039
TUT,1,control,48,1,0,0.03,left,20,104,1,10,left,1,0.633115,1348.89726,1349.530375,0.633311
TUT,1,control,49,1,0,0.5,right,20,152,2,10,right,1,0.550974,1350.49628,1351.047254,0.551283
TUT,1,control,50,1,0,0.5,right,20,152,2,10,right,1,0.567144,1352.080034,1352.647178,0.567343
TUT,1,control,51,1,0,0.06,right,20,108,2,10,right,1,0.767518,1353.596861,1354.364379,0.767717
TUT,1,control,52,1,0,0.12,left,20,113,1,10,left,1,0.617336,1355.346408,1355.963745,0.617535
TUT,1,control,53,1,0,0.25,right,20,127,2,10,right,1,0.501757,1356.980518,1357.482275,0.516684
TUT,1,control,54,1,0,0.03,right,20,105,2,10,right,1,0.60018,1358.530201,1359.130381,0.600408
TUT,1,control,55,1,0,0.25,right,20,127,2,10,right,1,0.700493,1360.112382,1360.812874,0.700651
TUT,1,control,56,1,0,0.03,left,20,104,1,10,left,1,0.685845,1361.813226,1362.499071,0.700708
TUT,1,control,57,1,0,0.25,left,20,126,1,10,left,1,0.583922,1363.430224,1364.014146,0.584229
TUT,1,control,58,1,0,0.06,left,20,107,1,10,left,1,0.700854,1365.113593,1365.814447,0.701041
TUT,1,control,59,1,0,0.06,left,20,107,1,10,left,1,0.584276,1366.713626,1367.297901,0.584468
TUT,1,control,60,1,0,0.0,right,20,102,2,10,right,1,0.549525,1368.431538,1368.981063,0.549717
TUT,1,control,61,1,0,0.03,right,20,105,2,10,right,1,0.617464,1370.013837,1370.631301,0.617653
TUT,1,control,62,1,0,0.06,left,20,107,1,10,left,1,0.634712,1371.880646,1372.515358,0.634955
TUT,1,control,63,1,0,0.06,right,20,108,2,10,right,1,0.550846,1373.614213,1374.165059,0.551103
TUT,1,control,64,1,0,0.25,left,20,126,1,10,left,1,0.500413,1375.331836,1375.832249,0.500644
TUT,1,control,65,1,0,0.0,right,20,102,2,10,right,1,0.550918,1376.781304,1377.332222,0.551181
