participant_id,session,task_type,trial_number,block_number,is_practice,coherence,direction,trial_start_trigger,stimulus_trigger,response_trigger,feedback_trigger,response,accuracy,reaction_time,stimulus_onset_time,response_time,trial_duration
eegbinaural,1,binaural,1,0,1,0.4,left,20,141,1,10,left,1,0.651796,1627.464514,1628.116311,0.652623
eegbinaural,1,binaural,2,0,1,0.4,right,20,142,2,10,right,1,0.484848,1629.582387,1630.067235,0.485751
eegbinaural,1,binaural,3,0,1,0.4,right,20,142,2,10,right,1,0.467464,1631.715311,1632.182774,0.468446
eegbinaural,1,binaural,4,0,1,0.4,right,20,142,2,10,right,1,0.432939,1633.683348,1634.116287,0.433391
eegbinaural,1,binaural,5,0,1,0.4,right,20,142,2,10,right,1,0.48763,1635.599006,1636.086636,0.501024
eegbinaural,1,binaural,6,0,1,0.4,left,20,141,1,10,left,1,0.953007,1637.550091,1638.503098,0.966365
eegbinaural,1,binaural,7,0,1,0.4,left,20,141,1,10,left,1,0.800416,1639.93226,1640.732676,0.801079
eegbinaural,1,binaural,8,0,1,0.4,left,20,141,1,10,left,1,1.051516,1642.449754,1643.50127,1.053439
eegbinaural,1,binaural,9,0,1,0.4,left,20,141,1,10,left,1,0.950168,1644.93221,1645.882379,0.951557
eegbinaural,1,binaural,10,0,1,0.4,right,20,142,2,10,right,1,0.433182,1647.282367,1647.715549,0.434332
eegbinaural,1,binaural,11,0,1,0.4,left,20,141,1,10,left,1,0.716454,1649.149404,1649.865858,0.717396
eegbinaural,1,binaural,12,0,1,0.4,left,20,141,1,10,left,1,0.649865,1651.382538,1652.032403,0.650708
eegbinaural,1,binaural,13,0,1,0.4,right,20,142,2,10,right,1,0.485968,1653.447366,1653.933334,0.486988
eegbinaural,1,binaural,14,0,1,0.4,right,20,142,2,10,right,1,0.501186,1655.366016,1655.867202,0.502156
eegbinaural,1,binaural,1,1,0,0.25,left,20,126,1,10,left,1,0.603562,1668.981905,1669.585467,0.617085
eegbinaural,1,binaural,2,1,0,0.06,left,20,107,2,11,right,0,0.916603,1670.465332,1671.381935,0.917347
eegbinaural,1,binaural,3,1,0,0.12,left,20,113,1,10,left,1,0.85437,1672.348378,1673.202749,0.866941
eegbinaural,1,binaural,4,1,0,0.12,left,20,113,1,10,left,1,0.784808,1674.281806,1675.066614,0.785692
eegbinaural,1,binaural,5,1,0,0.06,left,20,107,1,10,left,1,1.465663,1676.115044,1677.580708,1.466204
eegbinaural,1,binaural,6,1,0,0.5,right,20,152,2,10,right,1,0.46971,1678.498582,1678.968291,0.484108
eegbinaural,1,binaural,7,1,0,0.5,left,20,151,1,10,left,1,0.487077,1680.065149,1680.552226,0.500791
eegbinaural,1,binaural,8,1,0,0.03,left,20,104,2,11,right,0,0.833715,1681.648936,1682.482651,0.834959
eegbinaural,1,binaural,9,1,0,0.5,right,20,152,2,10,right,1,0.481453,1683.332859,1683.814312,0.482322
eegbinaural,1,binaural,10,1,0,0.06,right,20,108,1,11,left,0,0.653345,1684.765144,1685.418489,0.667189
eegbinaural,1,binaural,11,1,0,0.12,left,20,113,1,10,left,1,1.433066,1686.531591,1687.964657,1.43374
eegbinaural,1,binaural,12,1,0,0.25,right,20,127,2,10,right,1,0.467076,1688.931598,1689.398674,0.468555
eegbinaural,1,binaural,13,1,0,0.03,left,20,104,1,10,left,1,0.464999,1690.381986,1690.846986,0.466156
eegbinaural,1,binaural,14,1,0,0.0,left,20,101,2,11,right,0,0.800617,1691.881594,1692.682211,0.80276
eegbinaural,1,binaural,15,1,0,0.0,left,20,101,1,10,left,1,0.803864,1693.698809,1694.502673,0.817049
eegbinaural,1,binaural,16,1,0,0.5,left,20,151,1,10,left,1,0.470617,1695.448651,1695.919268,0.484285
eegbinaural,1,binaural,17,1,0,0.12,left,20,113,1,10,left,1,0.617434,1697.131695,1697.749129,0.618045
eegbinaural,1,binaural,18,1,0,0.0,right,20,102,2,10,right,1,0.767243,1698.682036,1699.449279,0.768224
eegbinaural,1,binaural,19,1,0,0.06,left,20,107,1,10,left,1,0.601008,1700.498351,1701.099358,0.601906
eegbinaural,1,binaural,20,1,0,0.25,right,20,127,2,10,right,1,0.384157,1702.231492,1702.615649,0.384935
eegbinaural,1,binaural,21,1,0,0.5,left,20,151,1,10,left,1,0.433932,1703.881249,1704.315182,0.434795
eegbinaural,1,binaural,22,1,0,0.03,right,20,105,2,10,right,1,0.783779,1705.398373,1706.182153,0.78475
eegbinaural,1,binaural,23,1,0,0.06,left,20,107,1,10,left,1,0.422167,1707.148952,1707.571119,0.434137
eegbinaural,1,binaural,24,1,0,0.12,right,20,114,2,10,right,1,0.484225,1708.581731,1709.065957,0.485194
eegbinaural,1,binaural,25,1,0,0.03,right,20,105,2,10,right,1,0.884315,1710.214781,1711.099096,0.885055
eegbinaural,1,binaural,26,1,0,0.12,right,20,114,2,10,right,1,0.866988,1712.148172,1713.015159,0.868059
eegbinaural,1,binaural,27,1,0,0.5,left,20,151,1,10,left,1,0.433216,1714.230231,1714.663447,0.433535
eegbinaural,1,binaural,28,1,0,0.0,left,20,101,2,11,right,0,1.583141,1715.732016,1717.315156,1.584206
eegbinaural,1,binaural,29,1,0,0.12,right,20,114,2,10,right,1,0.833915,1718.414603,1719.248518,0.834875
eegbinaural,1,binaural,30,1,0,0.0,left,20,101,1,10,left,1,0.669136,1720.31444,1720.983577,0.669926
eegbinaural,1,binaural,31,1,0,0.03,right,20,105,2,10,right,1,0.949142,1722.131084,1723.080226,0.949748
eegbinaural,1,binaural,32,1,0,0.25,right,20,127,2,10,right,1,0.519486,1723.998901,1724.518387,0.532562
eegbinaural,1,binaural,33,1,0,0.06,right,20,108,2,10,right,1,0.633744,1725.531264,1726.165008,0.634645
eegbinaural,1,binaural,34,1,0,0.03,right,20,105,2,10,right,1,0.667307,1727.16443,1727.831737,0.66826
eegbinaural,1,binaural,35,1,0,0.12,left,20,113,1,10,left,1,0.481879,1728.814778,1729.296657,0.482317
eegbinaural,1,binaural,36,1,0,0.5,right,20,152,2,10,right,1,0.400714,1730.39742,1730.798134,0.401642
eegbinaural,1,binaural,37,1,0,0.5,right,20,152,2,10,right,1,0.401045,1731.813889,1732.214934,0.401732
