participant_id,condition,v_mean,v_sd,v_hdi_low,v_hdi_high,a_mean,a_sd,a_hdi_low,a_hdi_high,t_mean,z_mean
eeg,binaural,-0.038,0.114,-0.264,0.164,0.64,0.017,0.608,0.671,0.349,0.529
eeg,control,0.054,0.103,-0.134,0.253,0.679,0.02,0.64,0.711,0.42,0.538
david,binaural,0.138,0.082,-0.024,0.295,0.918,0.026,0.866,0.963,0.422,0.439
david,control,0.205,0.087,0.049,0.381,0.941,0.027,0.897,0.997,0.459,0.444
tut,binaural,-0.376,0.133,-0.624,-0.133,0.559,0.016,0.53,0.588,0.439,0.504
tut,control,0.054,0.161,-0.246,0.352,0.476,0.015,0.448,0.505,0.405,0.461
cla,binaural,0.089,0.117,-0.142,0.292,0.59,0.016,0.562,0.622,0.304,0.434
cla,control,0.113,0.096,-0.081,0.275,0.718,0.019,0.683,0.752,0.302,0.444
johan,binaural,0.119,0.085,-0.04,0.282,0.849,0.021,0.808,0.886,0.475,0.502
johan,control,0.319,0.083,0.161,0.471,0.914,0.026,0.864,0.961,0.473,0.446
