participant_id,session,task_type,trial_number,block_number,is_practice,coherence,direction,trial_start_trigger,stimulus_trigger,response_trigger,feedback_trigger,response,accuracy,reaction_time,stimulus_onset_time,response_time,trial_duration
Johan_control,1,control,1,0,1,0.4,right,20,142,2,10,right,1,0.923696,1221.661044,1222.584741,0.924062
Johan_control,1,control,2,0,1,0.4,right,20,142,2,10,right,1,0.87786,1224.261609,1225.139469,0.883206
Johan_control,1,control,3,0,1,0.4,left,20,141,1,10,left,1,0.718993,1226.600756,1227.319748,0.719976
Johan_control,1,control,4,0,1,0.4,right,20,142,2,10,right,1,0.675643,1228.911453,1229.587095,0.676767
Johan_control,1,control,5,0,1,0.4,right,20,142,2,10,right,1,0.76225,1231.274964,1232.037215,0.763147
Johan_control,1,control,6,0,1,0.4,right,20,142,2,10,right,1,0.82062,1233.640882,1234.461502,0.826071
Johan_control,1,control,7,0,1,0.4,left,20,141,1,10,left,1,0.45037,1236.00892,1236.459291,0.45151
Johan_control,1,control,8,0,1,0.4,left,20,141,1,10,left,1,1.053358,1237.917481,1238.970839,1.054459
Johan_control,1,control,9,0,1,0.4,right,20,142,2,10,right,1,0.502358,1240.473719,1240.976077,0.503412
Johan_control,1,control,10,0,1,0.4,left,20,141,1,10,left,1,0.698587,1242.357772,1243.056359,0.70339
Johan_control,1,control,11,0,1,0.4,right,20,142,2,10,right,1,0.360084,1244.541994,1244.902078,0.361117
Johan_control,1,control,12,0,1,0.4,left,20,141,1,10,left,1,0.562098,1246.508143,1247.070241,0.563202
Johan_control,1,control,13,0,1,0.4,left,20,141,1,10,left,1,0.834281,1248.542178,1249.376459,0.835378
Johan_control,1,control,14,0,1,0.4,left,20,141,1,10,left,1,0.64708,1251.091886,1251.738966,0.651917
Johan_control,1,control,1,1,0,0.03,left,20,104,1,10,left,1,0.603303,1254.809229,1255.412533,0.610665
Johan_control,1,control,2,1,0,0.25,left,20,126,1,10,left,1,0.714744,1256.274451,1256.989195,0.719389
Johan_control,1,control,3,1,0,0.03,left,20,104,2,11,right,0,0.765725,1258.140546,1258.906271,0.770514
Johan_control,1,control,4,1,0,0.0,right,20,102,1,11,left,0,0.852966,1259.967519,1260.820485,0.854087
Johan_control,1,control,5,1,0,0.0,left,20,101,2,11,right,0,0.884887,1261.774807,1262.659693,0.885925
Johan_control,1,control,6,1,0,0.0,right,20,102,1,11,left,0,0.987903,1263.724942,1264.712846,0.995543
Johan_control,1,control,7,1,0,0.12,right,20,114,1,11,left,0,1.164123,1265.508498,1266.672621,1.168843
Johan_control,1,control,8,1,0,0.0,left,20,101,2,11,right,0,1.064341,1267.691371,1268.755713,1.069236
Johan_control,1,control,9,1,0,0.0,right,20,102,1,11,left,0,1.279139,1269.691554,1270.970693,1.280208
Johan_control,1,control,10,1,0,0.5,left,20,151,1,10,left,1,0.918455,1271.958283,1272.876739,0.919562
Johan_control,1,control,11,1,0,0.0,right,20,102,2,10,right,1,1.117978,1273.808243,1274.926222,1.119013
Johan_control,1,control,12,1,0,0.12,left,20,113,1,10,left,1,1.077098,1275.967547,1277.044644,1.083384
Johan_control,1,control,13,1,0,0.12,left,20,113,1,10,left,1,1.338904,1277.934341,1279.273244,1.343615
Johan_control,1,control,14,1,0,0.06,right,20,108,2,10,right,1,1.618867,1280.301141,1281.920008,1.619971
Johan_control,1,control,15,1,0,0.5,right,20,152,1,11,left,0,1.469822,1282.791528,1284.26135,1.476087
Johan_control,1,control,16,1,0,0.03,left,20,104,1,10,left,1,1.31097,1285.367552,1286.678522,1.316952
Johan_control,1,control,17,1,0,0.03,right,20,105,2,10,right,1,1.398779,1287.858174,1289.256953,1.403754
Johan_control,1,control,18,1,0,0.03,left,20,104,1,10,left,1,1.56196,1290.358752,1291.920712,1.565626
Johan_control,1,control,19,1,0,0.25,left,20,126,1,10,left,1,0.852058,1292.974109,1293.826167,0.853149
Johan_control,1,control,20,1,0,0.5,left,20,151,1,10,left,1,0.744817,1294.908673,1295.65349,0.745892
