participant_id,session,task_type,trial_number,block_number,is_practice,coherence,direction,trial_start_trigger,stimulus_trigger,response_trigger,feedback_trigger,response,accuracy,reaction_time,stimulus_onset_time,response_time,trial_duration
eegcontrol,1,control,1,0,1,0.4,right,20,142,nan,12,none,nan,nan,1270.150303,nan,2.015594
eegcontrol,1,control,2,0,1,0.4,right,20,142,2,10,right,1,1.02036,1274.348203,1275.368563,1.033515
eegcontrol,1,control,3,0,1,0.4,right,20,142,1,11,left,0,0.849001,1276.933105,1277.782106,0.849894
eegcontrol,1,control,4,0,1,0.4,left,20,141,1,10,left,1,1.682396,1279.266276,1280.948672,1.683412
eegcontrol,1,control,5,0,1,0.4,right,20,142,2,10,right,1,0.919573,1282.332267,1283.251839,0.933422
eegcontrol,1,control,6,0,1,0.4,left,20,141,1,10,left,1,1.217285,1284.831811,1286.049096,1.217925
eegcontrol,1,control,7,0,1,0.4,left,20,141,1,10,left,1,1.022066,1287.448452,1288.470518,1.033566
eegcontrol,1,control,8,0,1,0.4,right,20,142,2,10,right,1,0.74789,1290.149909,1290.897799,0.748846
eegcontrol,1,control,9,0,1,0.4,left,20,141,1,10,left,1,0.770333,1292.46592,1293.236253,0.771505
eegcontrol,1,control,10,0,1,0.4,left,20,141,1,10,left,1,0.904001,1294.614717,1295.518717,0.917383
eegcontrol,1,control,11,0,1,0.4,left,20,141,1,10,left,1,0.720527,1296.998063,1297.71859,0.733965
eegcontrol,1,control,12,0,1,0.4,left,20,141,1,10,left,1,0.685731,1299.315648,1300.001379,0.699472
eegcontrol,1,control,13,0,1,0.4,right,20,142,2,10,right,1,0.687586,1301.531236,1302.218821,0.701436
eegcontrol,1,control,14,0,1,0.4,right,20,142,2,10,right,1,0.566473,1303.682942,1304.249415,0.567254
eegcontrol,1,control,1,1,0,0.0,right,20,102,1,11,left,0,0.717292,1312.280874,1312.998166,0.718396
eegcontrol,1,control,2,1,0,0.0,left,20,101,1,10,left,1,0.950456,1313.964727,1314.915182,0.951167
eegcontrol,1,control,3,1,0,0.25,left,20,126,1,10,left,1,1.168599,1315.932884,1317.101482,1.182666
eegcontrol,1,control,4,1,0,0.0,left,20,101,2,11,right,0,1.534401,1318.113578,1319.647979,1.535308
eegcontrol,1,control,5,1,0,0.12,left,20,113,1,10,left,1,0.63384,1320.647779,1321.281619,0.634683
eegcontrol,1,control,6,1,0,0.12,left,20,113,1,10,left,1,0.867784,1322.480759,1323.348543,0.868685
eegcontrol,1,control,7,1,0,0.06,left,20,107,2,11,right,0,1.600657,1324.214366,1325.815022,1.601624
eegcontrol,1,control,8,1,0,0.06,right,20,108,1,11,left,0,0.73352,1326.964309,1327.697829,0.73443
eegcontrol,1,control,9,1,0,0.03,left,20,104,1,10,left,1,1.317367,1328.881259,1330.198626,1.318252
eegcontrol,1,control,10,1,0,0.0,right,20,102,2,10,right,1,1.616961,1331.231179,1332.848141,1.617581
eegcontrol,1,control,11,1,0,0.5,right,20,152,2,10,right,1,0.700266,1333.88094,1334.581206,0.701259
eegcontrol,1,control,12,1,0,0.0,right,20,102,1,11,left,0,0.816883,1335.498368,1336.315251,0.81764
eegcontrol,1,control,13,1,0,0.12,left,20,113,2,11,right,0,1.434123,1337.281006,1338.715129,1.434996
eegcontrol,1,control,14,1,0,0.03,right,20,105,2,10,right,1,1.667532,1339.748376,1341.415907,1.668581
eegcontrol,1,control,15,1,0,0.03,left,20,104,2,11,right,0,1.534425,1342.530303,1344.064727,1.535258
eegcontrol,1,control,16,1,0,0.03,left,20,104,1,10,left,1,1.265547,1345.147311,1346.412858,1.266006
eegcontrol,1,control,17,1,0,0.03,right,20,105,2,10,right,1,1.300274,1347.380626,1348.6809,1.301208
eegcontrol,1,control,18,1,0,0.5,left,20,151,1,10,left,1,0.716278,1349.697085,1350.413363,0.71705
eegcontrol,1,control,19,1,0,0.06,right,20,108,2,10,right,1,1.117489,1351.330697,1352.448186,1.118455
eegcontrol,1,control,20,1,0,0.5,left,20,151,1,10,left,1,0.617191,1353.597528,1354.214719,0.618159
eegcontrol,1,control,21,1,0,0.12,right,20,114,2,10,right,1,0.999986,1355.247336,1356.247322,1.000628
eegcontrol,1,control,22,1,0,0.12,right,20,114,2,10,right,1,1.384514,1357.330024,1358.714538,1.385193
eegcontrol,1,control,23,1,0,0.25,right,20,127,2,10,right,1,1.150624,1359.763958,1360.914582,1.151412
eegcontrol,1,control,24,1,0,0.0,left,20,101,1,10,left,1,0.665455,1361.998849,1362.664304,0.666373
eegcontrol,1,control,25,1,0,0.0,right,20,102,2,10,right,1,1.536453,1363.680501,1365.216954,1.550291
eegcontrol,1,control,26,1,0,0.25,left,20,126,1,10,left,1,0.646354,1366.382596,1367.028949,0.646838
eegcontrol,1,control,27,1,0,0.25,left,20,126,2,11,right,0,1.733593,1368.164135,1369.897728,1.734243
eegcontrol,1,control,28,1,0,0.12,left,20,113,1,10,left,1,0.765753,1370.998185,1371.763938,0.766642
eegcontrol,1,control,29,1,0,0.12,right,20,114,nan,nan,none,nan,nan,1372.647244,nan,2.000847
eegcontrol,1,control,30,1,0,0.5,left,20,151,1,10,left,1,0.686719,1375.713444,1376.400163,0.702368
eegcontrol,1,control,31,1,0,0.06,right,20,108,nan,nan,none,nan,nan,1377.546009,nan,2.000821
eegcontrol,1,control,32,1,0,0.25,right,20,127,2,10,right,1,1.283765,1380.546658,1381.830423,1.284584
eegcontrol,1,control,33,1,0,0.0,left,20,101,1,10,left,1,1.899422,1382.714189,1384.613611,1.900131
eegcontrol,1,control,34,1,0,0.03,right,20,105,2,10,right,1,1.350772,1385.546469,1386.897241,1.351449
eegcontrol,1,control,35,1,0,0.03,right,20,105,1,11,left,0,1.785957,1387.880625,1389.666582,1.799938
eegcontrol,1,control,36,1,0,0.25,right,20,127,2,10,right,1,0.700322,1390.764789,1391.465111,0.701319
eegcontrol,1,control,37,1,0,0.25,right,20,127,2,10,right,1,1.033841,1392.413189,1393.447029,1.034733
eegcontrol,1,control,38,1,0,0.03,left,20,104,1,10,left,1,1.217095,1394.630038,1395.847134,1.217998
eegcontrol,1,control,39,1,0,0.12,left,20,113,nan,nan,none,nan,nan,1396.914078,nan,2.000296
eegcontrol,1,control,40,1,0,0.25,left,20,126,1,10,left,1,0.921621,1399.878704,1400.800325,0.93557
eegcontrol,1,control,41,1,0,0.25,left,20,126,1,10,left,1,0.718551,1401.929803,1402.648354,0.722185
eegcontrol,1,control,42,1,0,0.03,right,20,105,2,10,right,1,1.517059,1403.746576,1405.263635,1.518231
eegcontrol,1,control,43,1,0,0.0,left,20,101,1,10,left,1,1.516942,1406.363115,1407.880057,1.517681
eegcontrol,1,control,44,1,0,0.12,right,20,114,2,10,right,1,1.083431,1409.046719,1410.13015,1.084368
eegcontrol,1,control,45,1,0,0.12,right,20,114,2,10,right,1,0.849795,1410.980665,1411.83046,0.850872
eegcontrol,1,control,46,1,0,0.12,left,20,113,1,10,left,1,0.98406,1412.779807,1413.763867,0.98493
eegcontrol,1,control,47,1,0,0.25,right,20,127,2,10,right,1,0.599426,1414.796251,1415.395677,0.60022
eegcontrol,1,control,48,1,0,0.12,left,20,113,1,10,left,1,0.584313,1416.61375,1417.198063,0.585483
eegcontrol,1,control,49,1,0,0.12,left,20,113,1,10,left,1,1.100562,1418.412879,1419.513441,1.101569
eegcontrol,1,control,50,1,0,0.25,right,20,127,2,10,right,1,0.600464,1420.663032,1421.263495,0.601342
eegcontrol,1,control,51,1,0,0.5,right,20,152,2,10,right,1,0.550048,1422.213072,1422.76312,0.551028
eegcontrol,1,control,52,1,0,0.5,right,20,152,2,10,right,1,0.533433,1423.762981,1424.296414,0.534334
eegcontrol,1,control,53,1,0,0.0,left,20,101,2,11,right,0,1.9822,1425.397511,1427.379711,1.98313
eegcontrol,1,control,54,1,0,0.06,right,20,108,2,10,right,1,0.731789,1428.230081,1428.96187,0.732257
eegcontrol,1,control,55,1,0,0.0,right,20,102,1,11,left,0,0.818342,1429.962995,1430.781337,0.819188
eegcontrol,1,control,56,1,0,0.06,right,20,108,2,10,right,1,0.917059,1431.72928,1432.646339,0.917968
eegcontrol,1,control,57,1,0,0.06,right,20,108,2,10,right,1,0.901479,1433.579378,1434.480857,0.904157
eegcontrol,1,control,58,1,0,0.5,right,20,152,2,10,right,1,0.587481,1435.412933,1436.000414,0.600466
eegcontrol,1,control,59,1,0,0.06,right,20,108,2,10,right,1,0.665869,1437.030405,1437.696274,0.666567
eegcontrol,1,control,60,1,0,0.03,right,20,105,1,11,left,0,1.601172,1438.82933,1440.430503,1.601859
eegcontrol,1,control,61,1,0,0.12,left,20,113,1,10,left,1,1.02305,1441.612812,1442.635862,1.033798
eegcontrol,1,control,62,1,0,0.06,left,20,107,1,10,left,1,1.233984,1443.662801,1444.896785,1.234654
eegcontrol,1,control,63,1,0,0.25,left,20,126,1,10,left,1,0.718447,1445.829326,1446.547774,0.7195
eegcontrol,1,control,64,1,0,0.5,left,20,151,1,10,left,1,0.749544,1447.329808,1448.079352,0.750466
eegcontrol,1,control,65,1,0,0.03,right,20,105,2,10,right,1,1.300747,1449.195475,1450.496222,1.301412
eegcontrol,1,control,66,1,0,0.0,right,20,102,2,10,right,1,0.70038,1451.729739,1452.43012,0.701283
eegcontrol,1,control,67,1,0,0.5,left,20,151,1,10,left,1,0.750653,1453.412391,1454.163044,0.75152
eegcontrol,1,control,68,1,0,0.5,right,20,152,2,10,right,1,0.631625,1455.279944,1455.911569,0.63192
eegcontrol,1,control,69,1,0,0.12,left,20,113,1,10,left,1,0.635434,1456.828657,1457.464091,0.636349
eegcontrol,1,control,70,1,0,0.12,right,20,114,2,10,right,1,0.584648,1458.662134,1459.246782,0.585718
eegcontrol,1,control,71,1,0,0.0,right,20,102,1,11,left,0,1.916449,1460.112728,1462.029177,1.917577
eegcontrol,1,control,72,1,0,0.06,left,20,107,1,10,left,1,1.022989,1463.113133,1464.136122,1.033659
eegcontrol,1,control,73,1,0,0.0,right,20,102,2,10,right,1,1.100266,1465.062242,1466.162508,1.101034
eegcontrol,1,control,74,1,0,0.06,right,20,108,2,10,right,1,0.699645,1467.262945,1467.962589,0.700467
eegcontrol,1,control,75,1,0,0.25,right,20,127,2,10,right,1,0.601181,1469.045318,1469.646499,0.602041
eegcontrol,1,control,76,1,0,0.5,left,20,151,1,10,left,1,0.667352,1470.628926,1471.296277,0.668055
eegcontrol,1,control,77,1,0,0.12,right,20,114,2,10,right,1,0.616528,1472.312011,1472.928539,0.621581
eegcontrol,1,control,78,1,0,0.12,right,20,114,2,10,right,1,0.633453,1473.94566,1474.579113,0.634178
eegcontrol,1,control,79,1,0,0.03,left,20,104,1,10,left,1,0.834554,1475.711955,1476.546509,0.835511
eegcontrol,1,control,80,1,0,0.25,right,20,127,2,10,right,1,0.600545,1477.612133,1478.212679,0.601284
eegcontrol,1,control,81,1,0,0.12,left,20,113,1,10,left,1,0.717327,1479.062333,1479.77966,0.718157
eegcontrol,1,control,82,1,0,0.0,right,20,102,2,10,right,1,0.633781,1480.628706,1481.262488,0.634616
eegcontrol,1,control,83,1,0,0.03,right,20,105,2,10,right,1,0.731223,1482.080618,1482.811841,0.732168
eegcontrol,1,control,84,1,0,0.03,left,20,104,2,11,right,0,0.667145,1483.762112,1484.429257,0.667985
eegcontrol,1,control,85,1,0,0.06,right,20,108,2,10,right,1,0.548827,1485.463369,1486.012196,0.549945
eegcontrol,1,control,86,1,0,0.12,right,20,114,2,10,right,1,0.583841,1487.161993,1487.745833,0.584598
