participant_id,session,task_type,trial_number,block_number,is_practice,coherence,direction,trial_start_trigger,stimulus_trigger,response_trigger,feedback_trigger,response,accuracy,reaction_time,stimulus_onset_time,response_time,trial_duration
michelle,1,binaural,1,0,1,0.4,left,20,141,nan,12,none,nan,nan,1290.360769,nan,2.00773
michelle,1,binaural,2,0,1,0.4,left,20,141,2,11,right,0,1.251638,1294.567463,1295.819101,1.251898
michelle,1,binaural,3,0,1,0.4,left,20,141,2,11,right,0,0.701556,1297.617626,1298.319182,0.701839
michelle,1,binaural,4,0,1,0.4,right,20,142,1,11,left,0,0.599598,1299.78564,1300.385238,0.600006
michelle,1,binaural,5,0,1,0.4,right,20,142,1,11,left,0,1.869584,1302.017338,1303.886922,1.87004
michelle,1,binaural,6,0,1,0.4,right,20,142,nan,12,none,nan,nan,1305.467399,nan,2.000811
michelle,1,binaural,7,0,1,0.4,left,20,141,1,10,left,1,1.667936,1309.584473,1311.252409,1.668699
michelle,1,binaural,8,0,1,0.4,right,20,142,1,11,left,0,1.150531,1312.800892,1313.951423,1.150829
michelle,1,binaural,9,0,1,0.4,right,20,142,2,10,right,1,0.734167,1315.734413,1316.46858,0.734512
michelle,1,binaural,10,0,1,0.4,left,20,141,1,10,left,1,1.23796,1317.985288,1319.223247,1.250499
michelle,1,binaural,11,0,1,0.4,left,20,141,2,11,right,0,1.500279,1320.868219,1322.368498,1.500661
michelle,1,binaural,12,0,1,0.4,left,20,141,1,10,left,1,1.166766,1323.968105,1325.13487,1.167166
michelle,1,binaural,13,0,1,0.4,right,20,142,2,10,right,1,0.818759,1326.86644,1327.685199,0.819087
michelle,1,binaural,14,0,1,0.4,right,20,142,1,11,left,0,1.316554,1329.284979,1330.601533,1.316961
michelle,1,binaural,1,1,0,0.25,right,20,127,1,11,left,0,1.034863,1336.917782,1337.952645,1.035139
michelle,1,binaural,2,1,0,0.06,left,20,107,1,10,left,1,1.318465,1339.134909,1340.453373,1.319388
michelle,1,binaural,3,1,0,0.03,left,20,104,2,11,right,0,0.784362,1341.401766,1342.186127,0.784667
michelle,1,binaural,4,1,0,0.12,right,20,114,2,10,right,1,0.719175,1343.30155,1344.020724,0.719726
michelle,1,binaural,5,1,0,0.12,right,20,114,2,10,right,1,1.133334,1345.135067,1346.268401,1.133756
michelle,1,binaural,6,1,0,0.0,right,20,102,1,11,left,0,0.917284,1347.318162,1348.235446,0.917575
michelle,1,binaural,7,1,0,0.12,left,20,113,1,10,left,1,0.837157,1349.100491,1349.937648,0.850815
